"Marca temporal","¿Cuál es su edad?","¿Para qué has utilizado el sitio web del registro civil?","1. Creo que usaría la web de  Registro Civil frecuentemente.","2. Encuentro que la web del  Registro Civil es innecesariamente compleja.","3. Creo que la web del  Registro Civil es fácil de usar.","4. Creo que necesitaría ayuda de una persona con conocimientos técnicos para
usar este sitio web.","5. Las funciones del sitio web del  Registro Civil están bien integradas.","6. Creo que la web del  Registro Civil es inconsistente","7. Imagino que la mayoría de la gente aprendería a usar este sitio web de forma muy rápida.","8. Encuentro que  la web del  Registro Civil es muy difícil de usar.","9. Me siento confiado al utilizar el sitio web del Registro Civil ","10. Necesité aprender muchas cosas antes de ser capaz de utilizar la web del Registro Civil.","¿Tienes algún comentario o crítica respecto al sitio web del Registro Civil?"
"2024/08/30 12:39:46 p. m. GMT-4","","","3","4","2","1","1","4","2","3","2","3","no me agrada la pagina tiene informacion desorganizada y pensando para gente mayor la navegacion se hacer un tramite extra"
"2024/08/31 8:09:40 p. m. GMT-4","19","Para sacar certificados","1","3","3","3","3","3","3","3","3","3",""
"2024/08/31 9:11:39 p. m. GMT-4","20","Para sacar mi certificado de nacimiento","3","2","4","2","5","1","4","1","3","3","Considero que últimamente implemento protocolos que aumentan la integridad como que al pedir certificado de nacimiento se pide numero de cedula de identidad cosa que antes no"
"2024/08/31 9:19:11 p. m. GMT-4","20","Para pedir mi clave unica","1","5","3","2","1","5","1","1","1","4","Debería ser muchísimo más amigable, en especial para aquellas personas de más edad."
"2024/08/31 9:38:54 p. m. GMT-4","33","Tramites varios","5","3","3","2","3","3","3","3","3","3","No"
"2024/08/31 11:35:57 p. m. GMT-4","57","Certificados de nacimiento, matrimonio","4","2","4","1","4","1","5","1","5","1","Es fácil de usar. Ojalá se incorporen nuevos certificados."
"2024/09/01 10:01:14 a. m. GMT-4","54","Trámites de certificados especialmente el de certificados de nacimiento","3","1","5","1","4","1","5","1","5","2","Encuentro una interfaz amigable"
"2024/09/01 1:00:21 p. m. GMT-4","48","certificado , carnet de identidad ","4","2","4","1","2","4","4","1","2","2","que casi siempre esta caída la pagina "
"2024/09/01 1:56:15 p. m. GMT-4","21","Solicitar certificados
","3","3","4","2","1","5","3","2","2","1","Los tiempos de espera y la estabilidad del servidor"
"2024/09/01 4:02:00 p. m. GMT-4","20","Sacar el carnet","1","2","4","1","3","4","5","1","2","1","Nada que aportar"
"2024/09/01 4:31:22 p. m. GMT-4","23","certificado de nacimiento y fallecimiento","3","3","3","1","4","2","5","2","3","1","no"
"2024/09/01 4:34:13 p. m. GMT-4","55","Para obtener certificados","3","4","3","1","3","2","3","4","4","2","Debería ser mucho más amistoso y claro en las opciones"
"2024/09/01 4:36:36 p. m. GMT-4","20 años","Certificados","4","3","5","1","4","2","5","1","5","2","No, es eficiente "
"2024/09/01 4:47:29 p. m. GMT-4","20","Renovar cédula de identidad e información puntual","1","3","3","1","2","3","2","2","2","1","Que no es muy intuitivo y que podría ser más amigable con el usuario "
"2024/09/01 5:07:43 p. m. GMT-4","24","Trámites ","3","4","2","3","3","3","3","3","3","3",""
"2024/09/01 5:12:54 p. m. GMT-4","21","Para poder realizar diversos tramites sobre mi estado civil","3","2","4","2","4","2","4","2","4","2","N/A
"
"2024/09/01 5:31:04 p. m. GMT-4","21","Para descargar documentos ","1","1","4","1","4","1","5","1","5","1",""
"2024/09/01 5:37:05 p. m. GMT-4","20","Para sacar múltiples certificados ","3","2","5","1","4","4","5","2","4","5","Ninguno "
"2024/09/01 6:38:31 p. m. GMT-4","27","Cambio de nombre","2","4","2","3","1","4","2","2","2","2",""
"2024/09/01 6:52:27 p. m. GMT-4","27 años ","Para varias cosas ","1","5","3","5","1","5","1","5","1","5",""
"2024/09/01 7:57:49 p. m. GMT-4","18","carnet","5","2","3","4","4","2","3","3","4","4","nop"
"2024/09/01 10:42:39 p. m. GMT-4","63","Certificados ","3","3","3","2","2","2","3","2","4","2",""
"2024/09/02 10:03:45 a. m. GMT-4","20","Tramites y consultas","1","3","3","1","2","4","3","2","3","2",""
"2024/09/02 10:24:19 a. m. GMT-4","56","Sacar certificado de antecedentes","5","5","5","5","3","3","5","3","3","3","La tecnología avanza rápido y tenemos que ayudar a la 3 edad
"
"2024/09/02 1:16:39 p. m. GMT-4","21","Certificados de nacimiento, sacar horas para renovar carnet/pasaporte y sacar hojas de vida de conductor.","3","2","4","1","3","5","3","2","4","1",""
"2024/09/02 1:16:41 p. m. GMT-4","22","Para reservar hora para renovar el carnet","2","3","3","1","4","2","1","4","3","1",""
"2024/09/02 1:18:43 p. m. GMT-4","18","para pedir horas","1","4","2","3","2","4","1","3","1","2",""
"2024/09/02 1:29:41 p. m. GMT-4","19","Para ver tramites","2","2","3","1","3","1","3","1","4","1","Ninguno"
"2024/09/02 1:35:52 p. m. GMT-4","22","Acta de nacimiento ","3","2","3","1","4","1","4","1","5","1",""
"2024/09/02 1:46:11 p. m. GMT-4","18","Certificados ","3","1","3","1","2","1","2","3","3","2",""
"2024/09/04 6:27:05 p. m. GMT-4","24","Certificados y registro de patente","3","3","3","2","3","2","4","2","4","2","El diseño de la página podría ser más armónico al igual que la distribución de la información"
"2024/09/04 11:02:29 p. m. GMT-4","57","Certificados","4","1","4","1","4","2","4","1","4","1","No"